"Census_Tract","Black Total Mortality","White Total Mortality","Total Mortality","Alzheimer's disease","Cancer","Chronic liver disease and cirrhosis","Chronic lower respiratory diseases","Diabetes","Flu and pneumonia","Heart disease","Homicide","Septicemia","Stroke","Suicide","Unintentional injuries"
42003462100,11,167,178,,38,,8,5,,47,,,6,,15
42003462600,39,208,247,,61,6,7,5,,61,6,,7,,32
42003463900,28,165,193,,38,,16,,,44,7,,,,27
42003464300,11,160,171,,40,,12,,,27,,5,8,,14
42003464400,49,210,259,,53,9,11,,,69,6,6,7,,28
42003465600,10,150,160,,37,,10,,5,41,,,13,,12
42003465800,,157,157,,43,,7,,6,28,,,7,,15
42003468700,6,97,103,6,15,,8,,5,30,,,5,,7
42003468800,,144,147,,31,,9,,,42,,,6,,18
42003468900,22,218,240,5,49,,12,,7,70,,,12,6,16
42003469000,,235,240,6,57,,16,,7,46,,6,11,,15
42003470300,7,499,506,67,84,5,31,10,8,127,,,21,,6
42003470400,,186,186,7,38,,9,,,60,,,12,,10
42003470501,,92,93,,22,,,,,23,,,5,,5
42003470502,,233,237,9,42,,14,,,62,,,19,,11
42003470600,,188,190,7,51,9,,5,,47,,,8,,29
42003471000,,77,79,,11,,8,,,21,,,5,,
42003472100,,86,88,,21,,,,,18,,,6,,12
42003472200,,82,83,,14,,5,,,21,,,5,,8
42003472300,,76,77,,28,,,,,16,,,,,8
42003472400,,78,78,,16,,6,,,24,,,,,
42003473100,,169,171,5,41,,5,9,5,39,,,10,5,13
42003473200,,120,121,,30,,7,,,32,,,7,,
42003473300,,403,403,32,60,,26,11,8,116,,,21,,20
42003473401,,104,108,9,20,,8,,,25,,,5,,8
42003473402,,141,141,6,31,,9,,,27,,,8,,9
42003473500,6,135,141,9,32,,6,,,32,,,8,,5
42003473601,,357,358,42,45,,16,7,9,97,,,16,,19
42003473602,,336,338,16,68,,19,,9,90,,,17,,8
42003474101,,117,119,,29,,,,,24,,,6,,7
42003474102,,233,233,9,44,,12,6,7,68,,,9,,14
42003474201,,76,77,,14,,,,,15,,,11,,5
42003474202,,404,407,34,63,,18,,17,82,,,25,,27
42003474203,,118,119,7,25,,,6,,27,,,11,,
42003475101,7,414,421,24,84,,23,12,13,109,,5,25,,17
42003475102,,78,78,,21,,,,,24,,,,,
42003475200,,220,221,10,45,,10,6,9,57,,,12,,11
42003475301,8,265,273,9,62,,11,,13,61,,,6,6,20
42003475303,,199,200,8,35,,6,5,,58,,7,10,,7
42003475304,,208,212,14,46,,13,,6,47,,,13,,7
42003475401,,259,260,10,44,,15,8,13,60,,5,19,,13
42003475402,,128,129,5,34,,9,,,28,,,7,,
42003476100,,245,249,9,41,,11,6,,72,,,9,,26
42003476200,,185,187,6,44,,7,,,55,,,10,,7
42003477100,,238,239,10,50,,12,,8,63,,,7,,11
42003477200,,357,361,12,92,,18,,8,99,,8,12,,12
42003477300,6,256,262,8,64,,14,9,,67,,,8,,18
42003478100,,212,216,5,39,,14,11,,50,,6,9,,14
42003478200,,258,261,10,56,,12,8,7,66,,10,11,6,20
42003479000,,110,110,,32,,5,,,28,,,7,,12
42003480101,15,303,318,6,60,,21,13,9,74,,5,13,,20
42003480102,,176,180,5,41,,8,5,8,40,,,11,,6
42003480200,6,212,218,7,51,,13,9,,49,,,14,,12
42003480300,,196,196,7,43,,14,5,,50,,5,8,,8
